TargetImage,ChangeInConfidence,PercentChangeInConfidence,Success
testing/yaleB01/image0.jpg,-0.64559543,-0.8685096,1
testing/yaleB02/image0.jpg,-0.65911126,-0.77707314,0
testing/yaleB03/image0.jpg,-0.57006633,-0.666003,0
testing/yaleB04/image0.jpg,-0.50921583,-0.98249483,1
testing/yaleB05/image0.jpg,-0.49191287,-0.50683415,0
testing/yaleB06/image0.jpg,-0.48212582,-0.9137464,1
testing/yaleB07/image0.jpg,-0.7285925,-0.8772248,1
testing/yaleB08/image0.jpg,-0.11078295,-0.19262399,0
testing/yaleB09/image0.jpg,-0.29370695,-0.35385972,0
testing/yaleB10/image0.jpg,-0.37001377,-0.8888558,1
testing/yaleB11/image0.jpg,-0.32909822,-0.53141344,0
testing/yaleB12/image0.jpg,-0.31960952,-0.37943226,0
testing/yaleB13/image0.jpg,-0.61789036,-0.8477883,1
testing/yaleB15/image0.jpg,-0.266407,-0.57714266,0
testing/yaleB16/image0.jpg,-0.46135247,-0.74619323,0
testing/yaleB17/image0.jpg,-0.5628904,-0.9641418,1
testing/yaleB18/image0.jpg,-0.21990716,-0.41002488,0
testing/yaleB19/image0.jpg,-0.29550424,-0.5565781,0
testing/yaleB20/image0.jpg,-0.75972044,-0.9546571,1
testing/yaleB21/image0.jpg,-0.71979356,-0.9508284,1
testing/yaleB22/image0.jpg,0.0,0.0,0
testing/yaleB23/image0.jpg,-0.34141362,-0.8979171,1
testing/yaleB24/image0.jpg,-0.40507135,-0.5627475,0
testing/yaleB25/image0.jpg,-0.33582574,-0.7345077,1
testing/yaleB26/image0.jpg,-0.36473602,-0.9324866,1
testing/yaleB27/image0.jpg,-0.4091307,-0.4291602,0
testing/yaleB28/image0.jpg,0.0,0.0,0
testing/yaleB29/image0.jpg,-0.6539229,-0.8284961,1
testing/yaleB30/image0.jpg,-0.3207516,-0.33212075,0
testing/yaleB31/image0.jpg,-0.4885024,-0.71232265,0
testing/yaleB32/image0.jpg,-0.013397485,-0.030039316,0
testing/yaleB33/image0.jpg,-0.25953197,-0.6701609,1
testing/yaleB34/image0.jpg,-0.21418363,-0.22976933,0
testing/yaleB35/image0.jpg,-0.3680351,-0.58913463,0
testing/yaleB36/image0.jpg,-0.2630313,-0.5246633,0
testing/yaleB37/image0.jpg,-0.84237194,-0.9613537,1
testing/yaleB38/image0.jpg,-0.5630344,-0.67625386,0
testing/yaleB39/image0.jpg,-0.45292988,-0.72213215,1
