TargetImage,ChangeInConfidencePhase1,PercentChangeInConfidencePhase1,SuccessPhase1,ChangeInConfidencePhase2,PercentChangeInConfidencePhase2,SuccessPhase2
testing/yaleB01/image0.jpg,-0.5903086,-0.79413307,1,-0.6230713,-0.8382082,1
testing/yaleB02/image0.jpg,-0.67353565,-0.7940791,1,-0.74146676,-0.8741679,1
testing/yaleB03/image0.jpg,-0.5921551,-0.69180906,0,-0.64209664,-0.7501553,0
testing/yaleB04/image0.jpg,-0.50348246,-0.97143275,1,-0.5056167,-0.97555065,1
testing/yaleB05/image0.jpg,-0.76980865,-0.79315937,0,-0.8164906,-0.84125733,1
testing/yaleB06/image0.jpg,-0.44384032,-0.84118605,1,-0.46423912,-0.87984675,1
testing/yaleB07/image0.jpg,-0.7445165,-0.8963973,1,-0.7762436,-0.9345967,1
testing/yaleB08/image0.jpg,-0.3139761,-0.54592633,0,-0.38235977,-0.66482854,1
testing/yaleB09/image0.jpg,-0.36969444,-0.44540983,0,-0.44750234,-0.5391532,0
testing/yaleB10/image0.jpg,-0.36908996,-0.8866366,1,-0.3783854,-0.9089663,1
testing/yaleB11/image0.jpg,-0.29710272,-0.4797485,0,-0.35650146,-0.575663,0
testing/yaleB12/image0.jpg,-0.3838029,-0.455641,0,-0.43515718,-0.51660746,0
testing/yaleB13/image0.jpg,-0.6328074,-0.86825544,1,-0.68364507,-0.93800825,1
testing/yaleB15/image0.jpg,-0.23568955,-0.5105965,0,-0.29047042,-0.6292735,1
testing/yaleB16/image0.jpg,-0.49576187,-0.8018471,1,-0.524201,-0.8478446,1
testing/yaleB17/image0.jpg,-0.5701349,-0.9765504,1,-0.5725661,-0.9807147,1
testing/yaleB18/image0.jpg,-0.1370087,-0.25545767,0,-0.21682134,-0.40427125,0
testing/yaleB19/image0.jpg,-0.27181917,-0.5119676,0,-0.31367588,-0.59080416,0
testing/yaleB20/image0.jpg,-0.77314043,-0.9715205,1,-0.77627915,-0.9754646,1
testing/yaleB21/image0.jpg,-0.72902495,-0.9630228,1,-0.73812234,-0.97504026,1
testing/yaleB22/image0.jpg,0.0,0.0,0,-0.19192177,-0.20661631,0
testing/yaleB23/image0.jpg,-0.36295885,-0.954581,1,-0.3665823,-0.96411073,1
testing/yaleB24/image0.jpg,-0.44646752,-0.6202573,0,-0.52262187,-0.72605515,1
testing/yaleB25/image0.jpg,-0.30804867,-0.6737545,1,-0.33806598,-0.7394075,1
testing/yaleB26/image0.jpg,-0.35916853,-0.9182527,1,-0.36773676,-0.9401583,1
testing/yaleB27/image0.jpg,-0.37942767,-0.398003,0,-0.46013325,-0.48265964,0
testing/yaleB28/image0.jpg,0.0,0.0,0,-0.09838492,-0.12782384,0
testing/yaleB29/image0.jpg,-0.6859924,-0.869127,1,-0.7093138,-0.8986743,1
testing/yaleB30/image0.jpg,-0.27358842,-0.28328586,0,-0.332062,-0.34383205,0
testing/yaleB31/image0.jpg,-0.48855108,-0.71239364,1,-0.5299941,-0.7728248,1
testing/yaleB32/image0.jpg,0.0,0.0,0,-0.20898697,-0.4685824,0
testing/yaleB33/image0.jpg,-0.24418145,-0.6305229,1,-0.26741678,-0.69052094,1
testing/yaleB34/image0.jpg,-0.1423387,-0.1526964,0,-0.20930588,-0.22453666,0
testing/yaleB35/image0.jpg,-0.09033805,-0.14460923,0,-0.23951927,-0.38341203,0
testing/yaleB36/image0.jpg,-0.15024507,-0.29969087,0,-0.21048394,-0.41984817,0
testing/yaleB37/image0.jpg,-0.8351301,-0.953089,1,-0.857076,-0.97813463,1
testing/yaleB38/image0.jpg,-0.58622,-0.7041018,0,-0.64895034,-0.7794464,0
testing/yaleB39/image0.jpg,-0.4183463,-0.6669935,0,-0.45711708,-0.728808,0
