TargetImage,ChangeInConfidence,PercentChangeInConfidence,Success
testing/yaleB01/image0.jpg,-0.60592306,-0.81513894,1
testing/yaleB02/image0.jpg,-0.7199127,-0.8487563,1
testing/yaleB03/image0.jpg,-0.61837685,-0.7224437,0
testing/yaleB04/image0.jpg,-0.50396216,-0.9723583,1
testing/yaleB05/image0.jpg,-0.68279254,-0.7035038,0
testing/yaleB06/image0.jpg,-0.4881085,-0.925085,1
testing/yaleB07/image0.jpg,-0.75290537,-0.9064975,1
testing/yaleB08/image0.jpg,-0.12166864,-0.21155149,0
testing/yaleB09/image0.jpg,-0.3377161,-0.40688217,0
testing/yaleB10/image0.jpg,-0.34298694,-0.82393134,1
testing/yaleB11/image0.jpg,-0.36732656,-0.59314287,0
testing/yaleB12/image0.jpg,-0.3864481,-0.4587813,0
testing/yaleB13/image0.jpg,-0.6706302,-0.920151,1
testing/yaleB15/image0.jpg,-0.26486266,-0.5737969,0
testing/yaleB16/image0.jpg,-0.4072725,-0.65872407,0
testing/yaleB17/image0.jpg,-0.57129824,-0.97854304,1
testing/yaleB18/image0.jpg,-0.3428893,-0.63932955,0
testing/yaleB19/image0.jpg,-0.2529174,-0.4763664,0
testing/yaleB20/image0.jpg,-0.78072363,-0.9810495,1
testing/yaleB21/image0.jpg,-0.7378146,-0.97463375,1
testing/yaleB22/image0.jpg,-0.008711815,-0.009378837,0
testing/yaleB23/image0.jpg,-0.35264876,-0.92746556,1
testing/yaleB24/image0.jpg,-0.45827317,-0.6366584,0
testing/yaleB25/image0.jpg,-0.3403615,-0.74442816,1
testing/yaleB26/image0.jpg,-0.36281797,-0.9275829,1
testing/yaleB27/image0.jpg,-0.46516714,-0.48793998,0
testing/yaleB28/image0.jpg,0.0,0.0,0
testing/yaleB29/image0.jpg,-0.72806513,-0.9224315,1
testing/yaleB30/image0.jpg,-0.63038003,-0.6527241,1
testing/yaleB31/image0.jpg,-0.42163396,-0.61481667,0
testing/yaleB32/image0.jpg,-0.23970099,-0.53744817,0
testing/yaleB33/image0.jpg,-0.30061477,-0.7762445,1
testing/yaleB34/image0.jpg,-0.31241524,-0.33514908,0
testing/yaleB35/image0.jpg,-0.28025937,-0.44862702,0
testing/yaleB36/image0.jpg,-0.200524,-0.39998126,0
testing/yaleB37/image0.jpg,-0.8369788,-0.95519876,1
testing/yaleB38/image0.jpg,-0.35588118,-0.4274446,0
testing/yaleB39/image0.jpg,-0.3963466,-0.63191813,0
